FECHA,CODPRO,CANTID,NETO
30/07/2018,DS462545,1,16490
30/07/2018,DS460974,1,15490
30/07/2018,DS454484,1,86490
30/07/2018,DS461220,1,37807
30/07/2018,DS454484,1,86490
30/07/2018,DS453860,1,3990
30/07/2018,DS460115,1,9990
30/07/2018,DS470162,1,21490
30/07/2018,DS460547,1,7990
30/07/2018,DS462469,1,20490
30/07/2018,DS453276,1,5490
30/07/2018,DS457861,2,34980
30/07/2018,DS453142,1,15490
30/07/2018,DS460567,2,2980
30/07/2018,DS451794,1,8990
30/07/2018,DS458386,1,21490
30/07/2018,DS470159,1,28490
30/07/2018,DS470186,1,35990
30/07/2018,DS459026,2,34980
30/07/2018,DS462843,1,7990
30/07/2018,DS461355,1,29500
30/07/2018,DS453142,1,15490
30/07/2018,DS463021,1,12990
30/07/2018,DS451794,1,8990
30/07/2018,DS469787,6,71940
30/07/2018,DS460568,1,50990
30/07/2018,DS451758,1,7490
30/07/2018,DS460033,1,9490
30/07/2018,DS453059,1,13490
30/07/2018,DS460978,1,8990
30/07/2018,DS457861,1,17990
30/07/2018,DS470158,2,43980
30/07/2018,DS470160,1,62990
30/07/2018,DS470210,1,172990
27/07/2018,DS453142,1,15490
27/07/2018,DS469697,1,11400
27/07/2018,DS452979,7,17430
27/07/2018,DS460115,4,39960
27/07/2018,DS459245,4,37960
27/07/2018,DS469781,1,12597
27/07/2018,DS460115,2,19980
27/07/2018,DS469787,1,11990
27/07/2018,DS470104,1,45990
27/07/2018,DS460033,1,9490
27/07/2018,DS453167,1,97990
27/07/2018,DS469787,6,71940
27/07/2018,DS470050,1,48990
27/07/2018,DS451794,1,9490
27/07/2018,DS461226,5,125000
27/07/2018,DS470169,1,429990
27/07/2018,DS453580,1,20990
27/07/2018,DS463560,1,45490
27/07/2018,DS469786,1,48490
27/07/2018,DS463560,1,45490
27/07/2018,DS462887,1,70990
26/07/2018,DS463519,1,26990
26/07/2018,DS461274,1,17490
26/07/2018,DS453276,6,35940
26/07/2018,DS461193,1,12490
26/07/2018,DS455609,1,174990
26/07/2018,DS469690,2,21980
26/07/2018,DS461131,1,22490
26/07/2018,DS460791,4,49960
26/07/2018,DS463391,1,16723
26/07/2018,DS469634,15,209850
26/07/2018,DS460115,1,9990
26/07/2018,DS463451,1,22990
26/07/2018,DS460662,10,69900
26/07/2018,DS461193,10,124900
26/07/2018,DS453059,1,13490
26/07/2018,DS469989,1,16490
26/07/2018,DS463085,1,29403
26/07/2018,DS469694,1,18990
26/07/2018,DS470013,1,19990
26/07/2018,DS470004,2,17980
26/07/2018,DS454026,2,139980
26/07/2018,DS470012,1,5990
26/07/2018,DS461273,1,9490
26/07/2018,DS451847,1,23990
26/07/2018,DS457861,3,43470
26/07/2018,DS454093,1,40490
26/07/2018,DS451758,1,7490
26/07/2018,DS460547,3,22470
26/07/2018,DS469697,1,11400
26/07/2018,DS469880,1,9990
26/07/2018,DS460116,1,7490
26/07/2018,DS455890,4,27960
26/07/2018,DS452979,10,24900
25/07/2018,DS461214,5,152450
25/07/2018,DS460568,1,49490
25/07/2018,DS461193,2,24980
25/07/2018,DS460662,2,13980
25/07/2018,DS462882,1,13490
25/07/2018,DS453998,1,96990
25/07/2018,DS461149,1,12990
25/07/2018,DS461078,5,44950
25/07/2018,DS469898,2,18980
25/07/2018,DS469749,1,50412
25/07/2018,DS461078,1,8990
25/07/2018,DS469880,1,9990
25/07/2018,DS463477,1,13361
25/07/2018,DS460968,1,13990
25/07/2018,DS469857,2,22980
25/07/2018,DS461562,1,7555
25/07/2018,DS462909,4,33580
25/07/2018,DS460811,1,30990
25/07/2018,DS469796,1,44529
25/07/2018,DS460033,3,28470
25/07/2018,DS460978,2,17980
25/07/2018,DS460062,2,23980
25/07/2018,DS462764,1,16990
25/07/2018,DS469968,3,49470
25/07/2018,DS457861,1,14490
25/07/2018,DS463451,1,27990
24/07/2018,DS460791,5,62450
24/07/2018,DS460114,1,28990
24/07/2018,DS469782,1,10490
24/07/2018,DS461041,1,126490
24/07/2018,DS469797,1,488490
24/07/2018,DS469619,1,70990
24/07/2018,DS469828,1,44490
24/07/2018,DS463017,1,14490
24/07/2018,DS469891,1,19990
24/07/2018,DS463021,6,77940
24/07/2018,DS469803,6,167940
24/07/2018,DS469693,1,88490
24/07/2018,DS463455,1,11490
24/07/2018,DS451794,1,9490
24/07/2018,DS461138,1,14990
24/07/2018,DS462936,1,76990
24/07/2018,DS469899,1,19490
24/07/2018,DS461262,1,18490
24/07/2018,DS462840,3,44970
24/07/2018,DS469869,2,32980
24/07/2018,DS455594,1,9490
24/07/2018,DS455249,1,2915
24/07/2018,DS455250,1,2915
24/07/2018,DS455251,1,2915
24/07/2018,DS469829,1,184990
24/07/2018,DS462691,1,49990
24/07/2018,DS469814,4,21960
24/07/2018,DS469583,1,59400
24/07/2018,DS460567,12,17880
24/07/2018,DS462924,1,10490
24/07/2018,DS451847,1,23990
24/07/2018,DS461246,2,24980
24/07/2018,DS451980,2,37980
23/07/2018,DS462877,2,19980
23/07/2018,DS463544,1,12990
23/07/2018,DS453568,1,13990
23/07/2018,DS469794,3,134970
23/07/2018,DS454639,1,26990
23/07/2018,DS453753,5,119950
23/07/2018,DS451758,1,7490
23/07/2018,DS460665,1,10490
23/07/2018,DS462998,1,16990
23/07/2018,DS463274,1,31849
23/07/2018,DS461019,13,201370
23/07/2018,DS461107,1,123490
23/07/2018,DS469842,13,201370
23/07/2018,DS460547,6,44940
23/07/2018,DS469640,1,15490
23/07/2018,DS459249,1,26990
23/07/2018,DS451505,1,54990
23/07/2018,DS453791,1,45990
23/07/2018,DS459739,1,6490
23/07/2018,DS459249,1,26990
23/07/2018,DS452721,1,41490
