FECHA,CANTID,NETO
02/01/2018,1,15908
03/01/2018,1,14190
03/01/2018,2,28414
05/01/2018,2,741618
05/01/2018,2,68988
05/01/2018,3,44889
05/01/2018,2,30142
05/01/2018,1,13289
05/01/2018,2,32480
08/01/2018,1,79952
08/01/2018,1,114164
08/01/2018,1,177189
08/01/2018,7,108633
08/01/2018,1,45582
08/01/2018,1,17123
09/01/2018,1,18322
10/01/2018,1,14633
10/01/2018,1,22605
10/01/2018,1,8972
10/01/2018,1,20963
10/01/2018,1,15416
10/01/2018,1,8067
10/01/2018,1,9268
10/01/2018,1,17627
10/01/2018,1,28255
10/01/2018,1,31168
11/01/2018,2,63884
11/01/2018,1,35495
11/01/2018,1,26343
12/01/2018,1,27129
18/01/2018,3,71565
18/01/2018,2,31270
18/01/2018,1,114854
18/01/2018,1,211504
18/01/2018,1,12933
18/01/2018,1,68026
18/01/2018,5,73165
18/01/2018,1,14912
18/01/2018,1,15809
18/01/2018,1,71649
18/01/2018,1,8800
19/01/2018,1,169417
22/01/2018,1,38673
22/01/2018,1,38673
22/01/2018,1,38790
23/01/2018,1,54590
23/01/2018,2,31270
24/01/2018,1,33325
24/01/2018,5,29530
24/01/2018,1,17627
24/01/2018,2,981042
24/01/2018,6,1846086
24/01/2018,2,16520
24/01/2018,3,48546
24/01/2018,3,44736
24/01/2018,1,9483
24/01/2018,1,131869
24/01/2018,5,66555
24/01/2018,20,356520
24/01/2018,4,61836
25/01/2018,4,62700
25/01/2018,1,35703
25/01/2018,1,49540
25/01/2018,1,15506
25/01/2018,10,1379040
26/01/2018,1,90230
26/01/2018,1,34462
26/01/2018,2,29064
26/01/2018,1,50727
30/01/2018,1,15635
30/01/2018,1,169417
30/01/2018,2,46122
30/01/2018,1,12933
30/01/2018,1,67048
30/01/2018,1,16434
30/01/2018,1,15675
30/01/2018,1,48479
30/01/2018,2,30988
30/01/2018,1,23601
31/01/2018,2,30988
31/01/2018,1,19782
31/01/2018,1,83424
01/02/2018,1,14606
01/02/2018,1,15494
01/02/2018,5,73030
02/02/2018,1,15585
02/02/2018,1,54005
02/02/2018,1,150190
02/02/2018,2,34930
02/02/2018,1,24295
02/02/2018,2,30970
05/02/2018,1,19200
05/02/2018,1,42204
05/02/2018,2,29398
05/02/2018,2,43262
05/02/2018,1,112342
05/02/2018,2,124512
05/02/2018,1,46875
07/02/2018,2,41412
07/02/2018,1,124997
07/02/2018,1,26945
07/02/2018,1,28523
07/02/2018,3,46455
07/02/2018,1,315344
07/02/2018,1,305429
07/02/2018,2,31048
07/02/2018,1,17511
09/02/2018,1,72058
09/02/2018,1,6800
09/02/2018,2,51206
09/02/2018,2,35574
09/02/2018,3,46572
09/02/2018,1,7325
09/02/2018,1,32600
09/02/2018,2,63418
12/02/2018,3,46572
12/02/2018,1,87939
12/02/2018,1,14234
13/02/2018,1,31709
13/02/2018,1,28523
13/02/2018,2,147608
13/02/2018,1,15524
13/02/2018,5,66555
